# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
gong neng 	功能	c=24 d=1 t=12725
gong neng ce shi 	功能測試	c=1 d=1 t=7143
gong neng ne ge 	功能呢個	c=4 d=2.75037 t=8382
gong neng tu 	功能圖	c=3 d=1 t=6133
gong neng xu qiu 	功能需求	c=1 d=1 t=6033
gong qing 	公頃	c=1 d=1 t=9501
gong qing tuan 	共青團	c=1 d=1 t=9502
gong qing tuan yuan 	共青團員	c=2 d=1.94176 t=10167
gong shi 	工時	c=4 d=1.96562 t=8068
gong si 	公司	c=19 d=1.00287 t=13871
gong si li 	公司裏	c=1 d=1 t=10617
gong si shi bu shi 	公司是不是	c=1 d=1 t=1803
gong si xin xi 	公司信息	c=1 d=1 t=5981
gong wei 	工位	c=4 d=3.62555 t=14633
gong wei hao 	工位號	c=1 d=1 t=14596
gong wei shang 	工位上	c=1 d=1 t=14587
gong wu yuan 	公務員	c=2 d=1.68045 t=7452
gong xi 	恭喜	c=1 d=1 t=12185
gong yong 	共用	c=0 d=0.1 t=11238
gong zi ka 	工資卡	c=2 d=1.96079 t=13888
gong zuo 	工作	c=11 d=1.09389 t=10241
gong zuo dan wei 	工作單位	c=1 d=1 t=11782
gong zuo le 	工作了	c=1 d=1 t=9876
gong zuo zhe 	工作者	c=1 d=1 t=10119
google 	Google	c=1 d=1 t=653
gou 	夠	c=3 d=1.53794 t=6928
gou 	狗	c=4 d=1.00009 t=14077
gou jian 	構建	c=1 d=1 t=4272
gou jie 	勾結	c=1 d=1 t=12313
gou long 	狗龍	c=3 d=1.00344 t=6087
gou mai 	購買	c=1 d=1 t=368
gou ru 	購入	c=1 d=1 t=2016
gou tou 	狗頭	c=1 d=1 t=5337
gou zao 	構造	c=3 d=1.77897 t=4423
gu 	咕	c=1 d=1 t=7881
gu 	股	c=1 d=1 t=2053
gu 	鼓	c=3 d=1 t=13425
gu dai 	古代	c=4 d=1.02328 t=12239
gu ding 	固定	c=1 d=1 t=2863
gu er 	孤兒	c=1 d=1 t=9804
gu gan 	骨幹	c=1 d=1.00167 t=2301
gu gan pei xun da hui 	骨幹培訓大會	c=1 d=1 t=1484
gu ge 	谷歌	c=8 d=1.99005 t=8686
gu ji 	估計	c=4 d=1 t=8507
gu long 	古龍	c=2 d=1.8311 t=4567
gu lou gua wen 	孤陋寡聞	c=0 d=0.1 t=2096
gu lou gua wen le 	孤陋寡聞了	c=1 d=1 t=2097
gu tai 	固態	c=1 d=1 t=2011
gua 	掛	c=1 d=1 t=8112
gua dang 	掛擋	c=1 d=1 t=2435
gua hao 	掛號	c=1 d=1 t=10942
gua kao 	掛靠	c=1 d=1 t=14187
guai 	怪	c=6 d=1 t=9537
guai ga 	怪噶	c=1 d=1 t=5147
guai guai 	乖乖	c=1 d=1 t=5148
guai guai 	怪怪	c=2 d=1 t=9377
guai guai de 	乖乖的	c=1 d=1 t=9376
guai li 	怪力	c=1 d=1 t=4393
guai lie 	乖烈	c=1 d=1 t=4538
guai niao 	怪鳥	c=1 d=1 t=4363
guai wu 	怪物	c=4 d=1.07483 t=4577
guai wu lie ren 	怪物獵人	c=25 d=1.01293 t=6607
guai wu lie ren shi 	怪物獵人是	c=1 d=1 t=2736
guai wu lie ren shi jie 	怪物獵人世界	c=13 d=2.98668 t=3746
guan 	官	c=1 d=1 t=9951
guan 	管	c=1 d=1 t=7241
guan bi 	關閉	c=3 d=1 t=6109
guan bi le 	管比了	c=1 d=1 t=3161
guan dian 	觀點	c=1 d=1 t=2105
guan diao 	關掉	c=1 d=1 t=3390
guan fang 	官方	c=8 d=0.100113 t=14315
guan fang de 	官方的	c=1 d=1 t=14316
guan fang fu wu 	官方服務	c=1 d=1 t=8878
guan jian 	關鍵	c=2 d=1.09027 t=4760
guan jian ji shu 	關鍵技術	c=1 d=1 t=150
guan jian ren wu 	關鍵人物	c=4 d=2.83548 t=4809
guan le 	關了	c=1 d=1 t=2420
guan li 	管理	c=42 d=2.79397 t=13164
guan li ping tai 	管理平臺	c=4 d=1.43756 t=13084
guan li qi 	管理器	c=9 d=1.00001 t=8555
guan li ruan jian 	管理軟件	c=1 d=1 t=1770
guan li xi tong 	管理系統	c=0 d=0.1 t=2934
guan li xi tong de 	管理系統的	c=1 d=1 t=2935
guan li yuan 	管理員	c=0 d=0.1 t=5819
guan lian 	關聯	c=2 d=1 t=12022
guan wang 	官網	c=1 d=1 t=12987
guan xi 	關係	c=7 d=1.96654 t=10246
guan yu 	關於	c=2 d=1 t=14429
guang 	光	c=6 d=3.06402 t=4126
guang gao 	廣告	c=1 d=0.100045 t=2651
guang yu wang 	廣域網	c=1 d=1 t=8303
gui 	貴	c=2 d=1 t=13870
gui 	鬼	c=1 d=1 t=14260
gui bing 	歸併	c=2 d=1.1979 t=1471
gui fan 	規範	c=5 d=2.40684 t=14505
gui hua 	規劃	c=1 d=1 t=6614
gui mi 	閨密	c=2 d=1.00012 t=11302
gui ze 	規則	c=2 d=1.96079 t=3383
gun 	棍	c=4 d=1 t=12112
gun 	滾	c=2 d=1 t=12114
guo 	國	c=3 d=1.34646 t=9854
guo 	果	c=2 d=1 t=12817
guo 	過	c=10 d=1.30728 t=13929
guo cheng 	過程	c=4 d=1.64245 t=10039
guo de gang 	郭德綱	c=1 d=1 t=3551
guo di 	過低	c=1 d=1 t=5774
guo hang 	國行	c=2 d=1 t=5350
guo hou 	過後	c=1 d=1 t=12839
guo ji nian 	過幾年	c=1 d=1 t=10226
guo ji tian 	過幾天	c=1 d=1 t=1327
guo kai tong 	郭凱通	c=1 d=1 t=10891
guo lai 	過來	c=4 d=1 t=13314
guo le 	過了	c=3 d=0.116227 t=9939
guo ma 	過嗎	c=0 d=0.1 t=3506
guo nei 	國內	c=2 d=1.00009 t=10041
guo nei guo wai 	國內國外	c=1 d=1 t=3354
guo nei wai 	國內外	c=1 d=1 t=8167
guo qu 	過去	c=1 d=1.09094 t=13071
guo qu bei 	過去唄	c=1 d=1 t=13053
guo qu le 	過去了	c=1 d=1 t=13950
guo ran 	果然	c=3 d=1 t=14262
guo shi 	果實	c=1 d=1 t=3776
guo wai 	國外	c=2 d=1.00008 t=10071
ha ha 	哈哈	c=11 d=1 t=13341
ha ha ha 	哈哈哈	c=5 d=1 t=13300
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=1 d=1 t=2091
ha ka 	哈卡	c=1 d=1 t=5553
ha shi 	哈市	c=0 d=0.1 t=9
hai 	還	c=22 d=1.01198 t=14406
hai bin 	海濱	c=0 d=0.1 t=876
hai bin xue yuan 	海濱學院	c=17 d=1.6072 t=13941
hai bu 	還不	c=1 d=1 t=9159
hai bu que ding 	還不確定	c=1 d=1 t=13722
hai bu shi 	還不是	c=1 d=1 t=6648
hai bu zhi dao 	還不知道	c=1 d=1 t=9889
hai dao chuan 	海盜船	c=3 d=1.44324 t=2304
hai hao 	還好	c=1 d=1 t=5245
hai ke yi 	還可以	c=1 d=1 t=1875
hai lai 	還來	c=1 d=1 t=11543
hai mei 	還沒	c=3 d=1.00101 t=11525
hai mei da guo 	還沒打過	c=1 d=1 t=3509
hai neng 	還能	c=1 d=0.1 t=10452
hai neng zhuang 	還能裝	c=1 d=1 t=10453
hai pa 	害怕	c=1 d=1 t=10341
hai shang 	海上	c=1 d=1 t=2072
hai shi 	還是	c=26 d=2.04451 t=13969
hai shi huai 	還是壞	c=1 d=1 t=9165
hai suan 	還算	c=1 d=1 t=8088
hai wai 	海外	c=1 d=1 t=5623
hai xing 	還行	c=3 d=1 t=14343
hai xu yao 	還需要	c=1 d=1 t=8198
hai yan 	海燕	c=0 d=0.1 t=10905
hai yao 	還要	c=4 d=1 t=13355
hai yao xiang qian kan 	還要向前看	c=1 d=1 t=6811
hai yong 	還用	c=1 d=1 t=10987
hai you 	還有	c=12 d=1 t=14336
hai you ge 	還有個	c=4 d=1.00023 t=14452
hai you ji hui ma 	還有機會嗎	c=1 d=1 t=6831
hai you ji nian 	還有幾年	c=1 d=1 t=10977
hai you mei you 	還有沒有	c=1 d=1 t=7739
hai you ren 	還有人	c=1 d=1 t=10509
hai you sha 	還有啥	c=1 d=1 t=8990
hai you shen me 	還有什麼	c=1 d=0.1 t=6838
hai you shen me chu lu 	還有什麼出路	c=1 d=1 t=6839
han 	函	c=1 d=1 t=13791
han han 	憨憨	c=3 d=1 t=12182
han hua 	漢化	c=4 d=2.48778 t=4334
han jiang 	悍將	c=1 d=1 t=12082
han shu 	函數	c=5 d=1.442 t=5911
han zi 	漢字	c=1 d=1 t=12480
hang 	行	c=7 d=2.1982 t=12058
hang hao 	行號	c=1 d=1 t=1853
hang ju 	行距	c=1 d=1 t=5526
hang shu 	行數	c=4 d=1.00089 t=10529
hang tian 	航天	c=6 d=1 t=11275
hao 	好	c=48 d=3.22723 t=14626
hao 	號	c=20 d=0.156582 t=14595
hao ba 	好吧	c=1 d=1 t=13423
hao chang shi jian 	好長時間	c=2 d=1.7827 t=3536
hao chi 	好喫	c=1 d=1 t=11449
hao chu 	好處	c=2 d=1.00002 t=10169
hao da 	好大	c=1 d=1 t=3908
hao de 	好的	c=18 d=1.6228 t=14595
hao de o 	好的哦	c=2 d=1.00122 t=11065
hao duo 	好多	c=1 d=1 t=7422
hao duo fen 	好多分	c=1 d=1 t=7679
hao duo tian 	好多天	c=1 d=1 t=5195
hao hao 	好好	c=1 d=1 t=7850
hao hou 	好後	c=1 d=1 t=4168
hao huai 	好壞	c=1 d=1 t=1370
hao ji 	好幾	c=1 d=1 t=5333
hao jiu 	好久	c=2 d=1 t=11403
hao le 	好了	c=1 d=0.1 t=11095
hao lei 	好累	c=1 d=1 t=10952
hao lou 	號樓	c=4 d=2.68813 t=13392
hao luan le 	好亂了	c=1 d=1 t=5428
hao ma 	好嗎	c=1 d=1 t=12005
hao ne 	好呢	c=0 d=0.1 t=7806
hao nong 	好弄	c=1 d=1 t=2450
hao ping 	好評	c=1 d=1 t=5607
hao qi 	好奇	c=1 d=1 t=5077
hao ren 	好人	c=1 d=1 t=11139
hao shi 	好使	c=0 d=0.1 t=850
hao shi ke 	好使可	c=1 d=1 t=851
hao xian 	號線	c=1 d=1 t=7042
hao xiang 	好像	c=6 d=1.99523 t=9357
he 	和	c=40 d=1.52279 t=14537
he 	喝	c=2 d=1.00278 t=12330
he 	賀	c=1 d=1 t=14614
he bei 	河北	c=3 d=1.01126 t=6865
he bei sheng 	河北省	c=2 d=1 t=10857
he bing 	合併	c=1 d=1 t=6543
he bing dao 	合併到	c=2 d=1.80654 t=6583
he chu 	何處	c=1 d=1 t=4763
he guang 	和光	c=1 d=1 t=2755
he jin 	合金	c=0 d=0.1 t=4230
he jin zhuang bei 	合金裝備	c=1 d=1 t=4231
he ni 	和你	c=1 d=1 t=7849
he tong 	合同	c=1 d=1 t=9897
he xin 	核心	c=1 d=1 t=9286
he yi dun 	喝一頓	c=1 d=1 t=6867
he zi 	盒子	c=1 d=1 t=2039
he zui 	喝醉	c=1 d=1 t=12334
hei 	黑	c=2 d=1 t=10335
hei di 	黑底	c=1 d=1 t=557
hei ke 	黑客	c=1 d=1 t=6161
hei long 	黑龍	c=3 d=1 t=13391
hei long jiang 	黑龍江	c=4 d=1.00002 t=13635
hei long jiang sheng 	黑龍江省	c=12 d=2.77624 t=13729
hei ren 	黑人	c=3 d=2.26891 t=9297
hen 	很	c=5 d=1.00229 t=12240
hen da 	很大	c=1 d=1 t=8107
hen duo 	很多	c=1 d=1 t=3802
hen fan 	很煩	c=1 d=1 t=1315
hen gan xing qu 	很感興趣	c=1 d=1 t=7294
hen hao 	很好	c=1 d=1 t=6890
hen jing ya 	很驚訝	c=1 d=1 t=9585
hen nan 	很難	c=1 d=1 t=7490
hen neng 	很能	c=1 d=1 t=11152
hen shao 	很少	c=1 d=1 t=8282
hen you 	很有	c=1 d=1 t=7265
heng 	哼	c=1 d=1 t=11105
heng xian 	橫線	c=1 d=1 t=7631
hong 	紅	c=7 d=1 t=10318
hong 	虹	c=1 d=1 t=11518
hong 	鴻	c=3 d=1.87054 t=8885
hong zi 	紅字	c=1 d=1 t=10332
hou 	後	c=13 d=1.00076 t=14137
hou 	猴	c=2 d=0.102305 t=5409
hou duan 	後端	c=22 d=2.9361 t=11045
hou duan kai fa 	後端開發	c=3 d=1 t=11049
hou lai 	後來	c=1 d=1 t=4994
hou mi na 	後米納	c=1 d=1 t=8595
hou mian 	後面	c=4 d=1 t=11939
hou mian zhe 	後面這	c=1 d=1 t=9931
hou pu 	後埔	c=1 d=1 t=10562
hou tai 	後臺	c=0 d=0.1 t=6351
hou tai kai fa gong cheng shi 	後臺開發工程師	c=1 d=1 t=6352
hou tian 	後天	c=0 d=0.1 t=9565
hou tian ma 	後天嗎	c=1 d=1 t=9566
hou wei 	後衛	c=1 d=1 t=6722
hou xu 	後續	c=1 d=1 t=3130
hou yi ge 	後一個	c=1 d=1 t=1393
hu 	戶	c=2 d=1 t=13501
hu 	虎	c=1 d=1 t=1051
hu bin 	湖濱	c=1 d=1 t=8775
hu hua shi zhe 	護花使者	c=1 d=1 t=2494
hu kou 	戶口	c=3 d=2.8557 t=13428
hu kou ben 	戶口本	c=1 d=1 t=13495
hu le 	唬了	c=1 d=1 t=1856
hu lian wang 	互聯網	c=1 d=1 t=10619
hu lve 	忽略	c=2 d=1 t=4958
hu pu 	虎撲	c=3 d=1 t=14033
hu wai 	戶外	c=1 d=1 t=2405
hu xing 	弧形	c=1 d=1 t=5305
hu ying 	呼應	c=1 d=1 t=9570
hu zhu 	互助	c=1 d=1 t=13500
hua 	畫	c=7 d=3.76915 t=7878
hua 	花	c=2 d=1 t=4878
hua 	華	c=6 d=1.15617 t=12431
hua 	話	c=11 d=1.80831 t=13845
hua bei 	華北	c=2 d=1.01073 t=10648
hua fen 	劃分	c=2 d=1.00001 t=10776
hua qian 	花錢	c=2 d=0.1 t=10987
hua qian ma 	花錢嗎	c=1 d=1 t=10988
hua wei 	華爲	c=1 d=1 t=5622
hua wen 	華文	c=2 d=1.48191 t=12886
hua yang 	花樣	c=1 d=1 t=1824
huai 	壞	c=1 d=1.09465 t=9175
huan 	幻	c=2 d=1.99005 t=3007
huan 	患	c=1 d=1 t=10645
huan 	換	c=17 d=0.359688 t=14583
huan 	環	c=2 d=1.17377 t=9818
huan 	還	c=1 d=1 t=10646
huan cheng 	換成	c=3 d=1.00019 t=11914
huan cun 	緩存	c=3 d=1.99505 t=2651
huan dai 	換代	c=1 d=1 t=8161
huan dao 	換到	c=1 d=1 t=14567
huan ge 	換個	c=4 d=1 t=10066
huan hang 	換行	c=3 d=1.00403 t=12855
huan hang fu 	換行符	c=1 d=1 t=5358
huan hua 	幻化	c=1 d=1 t=2726
huan hui 	換回	c=2 d=1 t=3958
huan jie 	緩解	c=2 d=1.00187 t=6595
huan jing 	環境	c=6 d=1 t=14481
huan le 	換了	c=3 d=1 t=12341
huan man 	緩慢	c=1 d=1 t=7223
huan xiang 	幻想	c=2 d=1.66034 t=4197
huan yi xia 	換以下	c=1 d=1 t=14584
huang 	慌	c=2 d=1.01073 t=11896
huang 	煌	c=3 d=2.2754 t=2851
huang 	黃	c=1 d=1 t=11897
huang hua shi 	黃驊市	c=1 d=1 t=10858
huang hun 	黃昏	c=1 d=1 t=3998
huang se 	黃色	c=1 d=1 t=6091
hui 	回	c=5 d=1 t=14332
hui 	揮	c=3 d=1.78884 t=10128
hui 	會	c=12 d=0.405813 t=14621
hui 	灰	c=1 d=1 t=3995
hui bao cuo 	會報錯	c=1 d=1 t=12668
hui bei 	會被	c=2 d=1 t=8498
hui bing 	回稟	c=1 d=1 t=1470
hui bu hui 	會不會	c=1 d=1 t=4323
hui bu hui shi 	會不會是	c=1 d=1 t=5342
hui bu qu 	回不去	c=1 d=1 t=12559
hui de 	會的	c=1 d=1 t=9301
hui fu 	回覆	c=7 d=1.77492 t=13488
hui fu 	恢復	c=1 d=1 t=2345
hui gei 	會給	c=1 d=1 t=9639
hui guo 	回鍋	c=1 d=1 t=2048
hui lai 	回來	c=6 d=1.00173 t=13301
hui lai le 	回來了	c=1 d=1 t=9870
hui qu 	回去	c=0 d=0.1 t=6727
hui qu de 	回去的	c=1 d=1 t=6728
hui qu le 	回去了	c=0 d=0.1 t=12028
hui qu le ma 	回去了媽	c=1 d=0.100003 t=14545
hui rang 	會讓	c=1 d=1 t=7951
hui se 	灰色	c=1 d=1 t=560
hui wen 	會問	c=1 d=1 t=1612
hui xin 	回信	c=1 d=1 t=4005
hui xin 	會心	c=2 d=1.9802 t=4010
hui xing zhen 	回形針	c=3 d=1.99501 t=5632
hui xuan 	迴旋	c=0 d=0.1 t=5689
hui yi 	會議	c=5 d=1.01539 t=14082
hui yi hao 	會議號	c=1 d=1 t=9535
hui yi shang 	會議上	c=1 d=1 t=2926
hui yuan 	會員	c=4 d=1 t=10938
hui zou le 	會走了	c=1 d=1 t=14622
hun 	昏	c=1 d=1 t=12235
hun 	魂	c=3 d=2.67199 t=9595
hun jie shi 	魂解釋	c=1 d=1 t=9596
huo 	或	c=5 d=1 t=13180
huo dong 	活動	c=3 d=2.26867 t=3884
huo dong na ge 	活動那個	c=1 d=1 t=3602
huo fu 	霍夫	c=1 d=1 t=13487
huo jian 	火箭	c=2 d=1 t=12249
huo qu 	獲取	c=4 d=1.05525 t=5953
huo shan 	火山	c=2 d=1.82696 t=4625
huo shao 	火燒	c=0 d=0.1 t=11410
huo xing 	火星	c=0 d=0.1 t=1928
huo xing jiu yuan 	火星救援	c=1 d=1 t=1929
huo zai 	活在	c=1 d=1 t=12137
huo zeng 	獲贈	c=1 d=1 t=10833
huo zhe 	或者	c=7 d=1 t=14322
ji 	及	c=17 d=1.02794 t=14480
ji 	寄	c=4 d=2.39938 t=13900
ji 	幾	c=1 d=1 t=13197
ji 	急	c=1 d=1 t=1986
ji 	既	c=2 d=1.39259 t=1463
ji 	級	c=7 d=1.00011 t=12505
ji 	計	c=2 d=1 t=13538
ji 	雞	c=2 d=1.01906 t=5303
ji ben 	基本	c=10 d=1 t=11167
ji ben shang 	基本上	c=1 d=0.100008 t=10682
ji ben shang ba 	基本上吧	c=1 d=1 t=10683
ji ben shi yong 	基本使用	c=1 d=1 t=7160
ji ben si xiang 	基本思想	c=1 d=1 t=1382
ji ben xin xi 	基本信息	c=1 d=1 t=13819
ji bie 	級別	c=1 d=1 t=9809
ji chang 	機場	c=2 d=1 t=11320
ji cheng 	繼承	c=2 d=1 t=14273
ji cheng 	集成	c=3 d=1.99005 t=14276
ji chu 	基礎	c=3 d=1.61902 t=8589
ji chu jia gou 	基礎架構	c=1 d=1 t=7355
ji chu zhi shi 	基礎知識	c=1 d=1 t=6682
ji di 	基地	c=2 d=1.97531 t=5032
ji dian 	幾點	c=1 d=1 t=2563
ji dun 	幾頓	c=1 d=1 t=7504
ji fang 	機房	c=1 d=1.19506 t=5825
ji fang fu ze ren 	機房負責人	c=1 d=1 t=5822
ji fang guan li yuan 	機房管理員	c=1 d=1 t=5820
ji ge 	幾個	c=1 d=1.03906 t=9261
ji ge zi duan 	幾個字段	c=1 d=1 t=9074
ji guan 	籍貫	c=1 d=1 t=10882
ji hao 	幾號	c=1 d=1 t=13715
ji hua 	計劃	c=0 d=0.1 t=11096
ji hua tong 	計劃通	c=1 d=1 t=11097
ji hui 	機會	c=2 d=1.00128 t=8768
ji hui ma 	機會嗎	c=1 d=1 t=6835
ji ji 	積極	c=0 d=0.1 t=11281
ji ji qin fen 	積極勤奮	c=1 d=1 t=11282
ji jiang 	即將	c=1 d=1 t=5933
ji ke 	即可	c=2 d=1 t=13537
ji ke 	計科	c=11 d=1.62814 t=12508
ji kuan 	幾款	c=1 d=1 t=486
ji liang 	計量	c=1 d=1 t=12807
ji lu 	記錄	c=3 d=1 t=13226
ji lu pian 	紀錄片	c=2 d=1.95123 t=6740
ji mo 	寂寞	c=1 d=1 t=7442
ji nian 	幾年	c=1 d=0.1 t=10976
ji nian qian 	幾年前	c=0 d=0.1 t=8976
ji nian qian de 	幾年前的	c=1 d=1 t=8977
ji nu 	基努	c=1 d=1 t=6408
ji pi gu 	雞屁股	c=1 d=1 t=2062
ji pin 	極品	c=1 d=1 t=11321
ji rou 	肌肉	c=1 d=1 t=11355
ji rou ji yi 	肌肉記憶	c=1 d=1 t=5145
ji shao 	極少	c=1 d=1 t=950
ji shi 	及時	c=1 d=1 t=710
ji shu 	技術	c=38 d=2.41792 t=13711
ji shu lu xian 	技術路線	c=1 d=1 t=8609
ji shu yu 	技術與	c=1 d=1 t=9840
ji suan 	計算	c=3 d=0.111671 t=6807
ji suan ji 	計算機	c=39 d=1.12953 t=14200
ji suan ji ji chu 	計算機基礎	c=1 d=1 t=6680
ji suan ji ke xue 	計算機科學	c=7 d=1.00139 t=13709
ji suan ji ke xue yu ji shu 	計算機科學與技術	c=1 d=1 t=8055
ji suan xia shi jian 	計算下時間	c=1 d=1 t=6808
ji tian 	幾天	c=0 d=0.1 t=5501
ji tian xie 	幾天寫	c=1 d=1 t=5502
ji tuan 	集團	c=4 d=2.4781 t=12517
ji tuan gong si 	集團公司	c=1 d=1 t=80
ji xu 	繼續	c=1 d=1 t=1254
ji yan 	吉言	c=1 d=1 t=5509
ji yi 	記憶	c=0 d=0.1 t=5144
ji yu 	基於	c=12 d=3.26636 t=13161
ji yue 	幾月	c=1 d=1 t=12030
ji zhong 	幾種	c=4 d=1 t=11348
ji zhu 	記住	c=1 d=1 t=10197
ji zhun 	基準	c=2 d=1.85673 t=1296
ji zhun zhi 	基準值	c=1 d=1 t=1260
ji zhun zhi 	基準只	c=8 d=6.5979 t=1295
jia 	加	c=4 d=1 t=12578
jia 	家	c=7 d=1.0052 t=14334
jia 	賈	c=1 d=0.100026 t=10905
jia ban 	加班	c=0 d=0.1 t=14334
jia chong 	甲蟲	c=1 d=1 t=4872
jia ge 	價格	c=1 d=1 t=360
jia ge 	加個	c=1 d=1 t=6643
jia gou 	架構	c=8 d=1.91701 t=8364
jia gou tu 	架構圖	c=1 d=1 t=7861
jia hai yan 	賈海燕	c=1 d=1 t=10906
jia ke 	甲殼	c=1 d=1 t=4807
jia le 	加了	c=2 d=1 t=6519
jia li 	家裏	c=4 d=3.23166 t=10258
jia li dun 	家裏蹲	c=3 d=1.98511 t=9409
jia mi 	加密	c=4 d=1 t=12446
jia mi fang shi 	加密方式	c=1 d=1 t=3472
jia na bian 	家那邊	c=1 d=1 t=11035
jia na da 	加拿大	c=1 d=1 t=13001
jia re 	加熱	c=1 d=1 t=2051
jia ren 	家人	c=0 d=0.1 t=1779
jia ren shuo 	家人說	c=1 d=1 t=1780
jia ru 	加入	c=4 d=0.251072 t=9306
jia ru dao 	加入到	c=1 d=1 t=1174
jia ru hui yi 	加入會議	c=1 d=1 t=9307
jia shang 	加上	c=1 d=1 t=10656
jia ting 	家庭	c=3 d=2.0506 t=11317
jia ting jiao shi 	家庭教師	c=1 d=1 t=12864
jia ting xin xi 	家庭信息	c=1 d=1 t=8083
jia you 	加油	c=1 d=0.100322 t=6432
jia yuan 	家園	c=9 d=4.25938 t=13660
jia zai 	加載	c=1 d=1 t=3702
jian 	件	c=1 d=1 t=2745
jian 	劍	c=2 d=1.00409 t=4740
jian 	箭	c=1 d=1 t=12250
jian 	見	c=3 d=1 t=5504
jian 	間	c=1 d=1 t=8420
jian ce 	檢測	c=2 d=1 t=10680
jian cha 	檢查	c=2 d=1 t=12408
jian cha guo 	檢查過	c=1 d=1 t=1787
jian chi bu xia 	堅持不下	c=0 d=0.140252 t=6587
jian chi bu xia qu 	堅持不下區	c=1 d=1 t=6406
jian chi bu xia qu de shi hou 	堅持不下去的時候	c=1 d=1 t=6588
jian dan 	簡單	c=1 d=0.77032 t=7443
jian dan de 	簡單地	c=1 d=1 t=8772
jian ding 	鑑定	c=2 d=1.08781 t=10998
jian guo 	堅果	c=1 d=1 t=2492
jian jie 	簡介	c=2 d=1 t=14329
jian kang 	健康	c=1 d=1 t=2308
jian le 	剪了	c=0 d=0.1 t=6213
jian li 	建立	c=2 d=1 t=9785
jian li 	簡歷	c=13 d=0.100013 t=9836
jian li shang 	簡歷上	c=1 d=1 t=9837
jian mao 	鍵帽	c=6 d=4.40004 t=5447
jian mei 	健美	c=1 d=0.100324 t=5156
jian mei tao 	健美套	c=1 d=1 t=5157
jian pan 	鍵盤	c=11 d=1.10393 t=14618
jian quan 	兼權	c=8 d=0.509122 t=9396
jian quan shi bai 	兼權失敗	c=1 d=1 t=9397
jian rong 	兼容	c=1 d=1 t=2369
jian shen 	健身	c=1 d=1 t=4408
jian shen fang 	健身房	c=1 d=1 t=2342
jian sheng 	劍聖	c=1 d=0.533874 t=5681
jian shu 	鍵鼠	c=1 d=1 t=3959
jian ti 	簡體	c=3 d=1.00684 t=1169
jian tou 	箭頭	c=4 d=1.99005 t=7123
jian yi 	建議	c=2 d=1 t=6761
jian ying 	堅硬	c=2 d=1.80252 t=2797
jian zhan 	建站	c=1 d=1 t=10448
jian zhi 	劍指	c=1 d=1 t=1616
jian zhuang 	健壯	c=1 d=1 t=8201
jiang 	將	c=27 d=1.07081 t=13818
jiang 	獎	c=1 d=1 t=12034
jiang 	講	c=6 d=1.14431 t=12437
jiang 	降	c=2 d=1.27943 t=8924
jiang chong 	降重	c=1 d=1 t=8671
jiang dong fu lao 	江東父老	c=1 d=1 t=13265
jiang shi 	殭屍	c=1 d=1 t=9802
jiang ta 	將它	c=1 d=1 t=1528
jiang ta he 	將他和	c=1 d=1 t=1505
jiang ying 	僵硬	c=1 d=1 t=5843
jiao 	交	c=9 d=1.68205 t=14050
jiao 	叫	c=11 d=1.00042 t=11425
jiao 	腳	c=1 d=1 t=13118
jiao 	膠	c=2 d=1.98511 t=10548
jiao 	角	c=2 d=1 t=7668
jiao 	較	c=2 d=1 t=12497
jiao ben yu yan 	腳本語言	c=1 d=1 t=7171
jiao cha 	交叉	c=1 d=1 t=6896
jiao cheng 	教程	c=16 d=2.07881 t=14277
jiao gao 	較高	c=1 d=1 t=356
jiao huan 	交換	c=7 d=1 t=11183
jiao huan le 	交換了	c=1 d=1 t=7049
jiao huan wei zhi 	交換位置	c=3 d=2.82376 t=1534
jiao le 	交了	c=2 d=1.97045 t=9732
jiao lv 	焦慮	c=4 d=1.6761 t=6677
jiao qiang 	較強	c=1 d=1 t=5749
jiao sha 	叫啥	c=1 d=1 t=2207
jiao shen me 	叫什麼	c=1 d=1 t=9490
jiao shi 	教師	c=11 d=2.33336 t=11921
jiao shou 	教授	c=4 d=1.19135 t=12348
jiao tong 	交通	c=2 d=1.90484 t=911
jiao tong da xue 	交通大學	c=5 d=1.29523 t=13940
jiao wan 	交完	c=0 d=0.1 t=10441
jiao wan qian 	交完錢	c=1 d=1 t=10442
jiao wo 	教我	c=1 d=1 t=3770
jiao xue 	教學	c=2 d=1 t=11551
jiao yi 	交易	c=1 d=1 t=2005
jiao yu 	教育	c=3 d=1 t=8521
jiao zhuang 	膠狀	c=3 d=1.00042 t=13205
jie 	借	c=2 d=1.03491 t=14036
jie 	姐	c=5 d=1.76408 t=14450
jie 	屆	c=18 d=1.99501 t=10472
jie 	接	c=1 d=1 t=14197
jie 	潔	c=9 d=2.37203 t=12612
jie 	解	c=5 d=2.78402 t=5215
jie dao 	街道	c=10 d=5.78408 t=13656
jie dian 	節點	c=2 d=1.66034 t=3346
jie du 	借讀	c=2 d=1.2466 t=10847
jie fang 	解放	c=4 d=1.0017 t=5136
jie gou 	結構	c=5 d=1.02858 t=9795
jie gou ti 	結構體	c=2 d=1 t=14064
jie gu 	解僱	c=0 d=0.1 t=9192
